cycle,sim_time_s,n_aircraft,n_clusters_observed,max_complexity_observed,n_open_tracks,status_counts,n_resolved_tracks,best_resolution_score
0,15.0,3,0,0.0,1,"{""PROVISIONAL"": 1}",0,
1,30.0,3,0,0.0,1,"{""PROVISIONAL"": 1}",0,
2,45.0,3,0,0.0,1,"{""PROVISIONAL"": 1}",0,
3,60.0,3,0,0.0,1,"{""PROVISIONAL"": 1}",0,
4,75.0,3,0,0.0,1,"{""PROVISIONAL"": 1}",0,
5,90.0,3,0,0.0,1,"{""PROVISIONAL"": 1}",0,
6,105.0,3,0,0.0,1,"{""PROVISIONAL"": 1}",0,
7,120.0,3,0,0.0,1,"{""PROVISIONAL"": 1}",0,
8,135.0,3,0,0.0,1,"{""PROVISIONAL"": 1}",0,
9,150.0,3,0,0.0,1,"{""PROVISIONAL"": 1}",0,
10,165.0,3,1,17.14,1,"{""CANDIDATE"": 1}",0,
11,180.0,3,1,17.33,1,"{""CONFIRMED"": 1}",1,-0.1651
12,195.0,3,1,17.5,1,"{""CONFIRMED"": 1}",1,-0.1637
13,210.0,3,1,17.64,1,"{""CONFIRMED"": 1}",1,-0.1623
14,225.0,3,1,17.76,1,"{""CONFIRMED"": 1}",1,-0.1605
15,240.0,3,1,17.81,1,"{""CONFIRMED"": 1}",1,-0.1577
16,255.0,3,1,17.87,1,"{""CONFIRMED"": 1}",1,-0.1458
17,270.0,3,1,17.89,1,"{""CONFIRMED"": 1}",1,-0.1278
18,285.0,3,1,17.89,1,"{""CONFIRMED"": 1}",1,-0.1213
19,300.0,3,1,17.84,1,"{""CONFIRMED"": 1}",1,-0.0349
20,315.0,3,1,17.77,1,"{""CONFIRMED"": 1}",1,-0.0101
21,330.0,3,1,17.66,1,"{""CONFIRMED"": 1}",1,0.0671
22,345.0,3,1,17.53,1,"{""CONFIRMED"": 1}",1,0.102
23,360.0,3,1,17.37,1,"{""CONFIRMED"": 1}",1,0.1312
