cycle,sim_time_s,n_aircraft,n_clusters_observed,max_complexity_observed,n_open_tracks,n_confirmed_tracks,n_resolved_tracks,best_resolution_score
0,15.0,6,0,0.0,0,0,0,
1,30.0,6,0,0.0,0,0,0,
2,45.0,6,0,0.0,0,0,0,
3,60.0,6,0,0.0,0,0,0,
4,75.0,6,0,0.0,0,0,0,
5,90.0,6,0,0.0,0,0,0,
6,105.0,6,0,0.0,0,0,0,
7,120.0,6,0,0.0,0,0,0,
8,135.0,6,0,0.0,0,0,0,
9,150.0,6,0,0.0,0,0,0,
10,165.0,6,0,0.0,0,0,0,
11,180.0,6,0,0.0,0,0,0,
12,195.0,6,0,0.0,0,0,0,
13,210.0,6,0,0.0,0,0,0,
14,225.0,6,0,0.0,0,0,0,
15,240.0,6,0,0.0,0,0,0,
16,255.0,6,0,0.0,0,0,0,
17,270.0,6,0,0.0,0,0,0,
18,285.0,6,0,0.0,0,0,0,
19,300.0,6,0,0.0,0,0,0,
20,315.0,6,0,0.0,0,0,0,
21,330.0,6,0,0.0,0,0,0,
22,345.0,6,0,0.0,0,0,0,
23,360.0,6,0,0.0,0,0,0,
24,375.0,6,0,0.0,0,0,0,
25,390.0,6,0,0.0,0,0,0,
26,405.0,6,0,0.0,0,0,0,
27,420.0,6,0,0.0,0,0,0,
28,435.0,6,0,0.0,0,0,0,
29,450.0,6,0,0.0,0,0,0,
30,465.0,6,0,0.0,0,0,0,
31,480.0,6,0,0.0,0,0,0,
32,495.0,6,0,0.0,0,0,0,
33,510.0,6,0,0.0,0,0,0,
34,525.0,6,0,0.0,0,0,0,
35,540.0,6,0,0.0,0,0,0,
36,555.0,6,0,0.0,0,0,0,
37,570.0,6,0,0.0,0,0,0,
38,585.0,6,0,0.0,0,0,0,
39,600.0,6,0,0.0,0,0,0,
40,615.0,6,0,0.0,0,0,0,
41,630.0,6,0,0.0,0,0,0,
42,645.0,6,0,0.0,0,0,0,
43,660.0,6,0,0.0,0,0,0,
44,675.0,6,0,0.0,0,0,0,
45,690.0,6,0,0.0,0,0,0,
46,705.0,6,0,0.0,0,0,0,
47,720.0,6,0,0.0,0,0,0,
48,735.0,6,0,0.0,0,0,0,
49,750.0,6,0,0.0,0,0,0,
50,765.0,6,0,0.0,0,0,0,
51,780.0,6,0,0.0,0,0,0,
52,795.0,6,0,0.0,0,0,0,
53,810.0,6,0,0.0,0,0,0,
54,825.0,6,0,0.0,0,0,0,
55,840.0,6,0,0.0,0,0,0,
56,855.0,6,0,0.0,0,0,0,
57,870.0,6,0,0.0,0,0,0,
58,885.0,6,0,0.0,0,0,0,
59,900.0,6,0,0.0,0,0,0,
