cycle,sim_time_s,n_aircraft,n_clusters_observed,max_complexity_observed,n_open_tracks,n_confirmed_tracks,n_resolved_tracks,best_resolution_score
0,15.0,4,1,44.07,1,0,0,
1,30.0,4,1,45.01,1,1,1,-0.15
2,45.0,4,1,46.12,1,1,0,
3,60.0,4,1,47.44,1,1,0,
4,75.0,4,1,49.02,1,1,0,
5,90.0,4,1,50.94,1,1,0,
6,105.0,4,1,53.3,1,1,0,
7,120.0,4,1,56.26,1,1,0,
8,135.0,4,1,67.03,1,1,0,
9,150.0,4,1,80.53,1,1,0,
10,165.0,4,1,77.62,1,0,0,
11,180.0,4,1,77.62,1,0,0,
12,195.0,4,1,77.62,1,0,0,
13,210.0,4,1,77.62,1,0,0,
14,225.0,4,1,77.62,1,0,0,
15,240.0,4,1,77.62,1,0,0,
16,255.0,4,1,77.62,1,0,0,
17,270.0,4,1,77.62,1,0,0,
18,285.0,4,1,77.62,1,0,0,
19,300.0,4,1,77.62,1,0,0,
20,315.0,4,1,77.62,1,0,0,
21,330.0,4,1,77.62,1,0,0,
22,345.0,4,1,77.62,1,0,0,
23,360.0,4,1,77.62,1,0,0,
24,375.0,4,1,79.42,1,1,0,
25,390.0,4,1,81.22,1,1,0,
26,405.0,4,1,81.22,1,0,0,
27,420.0,4,1,69.02,1,1,0,
28,435.0,4,1,59.86,1,1,0,
29,450.0,4,1,53.62,1,1,0,
30,465.0,4,1,46.62,1,1,0,
31,480.0,4,1,42.17,1,1,0,
32,495.0,4,1,40.06,1,1,0,
33,510.0,4,1,38.35,1,1,0,
34,525.0,4,1,36.94,1,1,0,
35,540.0,4,1,35.78,1,1,0,
36,555.0,4,1,34.8,1,1,0,
37,570.0,4,1,33.97,1,1,0,
38,585.0,4,1,33.26,1,1,0,
39,600.0,4,1,32.65,1,1,0,
40,615.0,4,1,26.32,1,1,0,
41,630.0,4,1,25.64,1,1,0,
42,645.0,4,0,0.0,1,1,0,
43,660.0,4,0,0.0,1,1,0,
44,675.0,4,0,0.0,1,0,0,
45,690.0,4,0,0.0,0,0,0,
46,705.0,4,0,0.0,0,0,0,
47,720.0,4,0,0.0,0,0,0,
48,735.0,4,0,0.0,0,0,0,
49,750.0,4,0,0.0,0,0,0,
50,765.0,4,0,0.0,0,0,0,
51,780.0,4,0,0.0,0,0,0,
52,795.0,4,0,0.0,0,0,0,
53,810.0,4,0,0.0,0,0,0,
54,825.0,4,0,0.0,0,0,0,
55,840.0,4,0,0.0,0,0,0,
56,855.0,4,0,0.0,0,0,0,
57,870.0,4,0,0.0,0,0,0,
58,885.0,4,0,0.0,0,0,0,
59,900.0,4,0,0.0,0,0,0,
60,915.0,4,0,0.0,0,0,0,
61,930.0,4,0,0.0,0,0,0,
62,945.0,4,0,0.0,0,0,0,
63,960.0,4,0,0.0,0,0,0,
64,975.0,4,0,0.0,0,0,0,
65,990.0,4,0,0.0,0,0,0,
66,1005.0,4,0,0.0,0,0,0,
67,1020.0,4,0,0.0,0,0,0,
68,1035.0,4,0,0.0,0,0,0,
69,1050.0,4,0,0.0,0,0,0,
70,1065.0,4,0,0.0,0,0,0,
71,1080.0,4,0,0.0,0,0,0,
72,1095.0,4,0,0.0,0,0,0,
73,1110.0,4,0,0.0,0,0,0,
74,1125.0,4,0,0.0,0,0,0,
75,1140.0,4,0,0.0,0,0,0,
76,1155.0,4,0,0.0,0,0,0,
77,1170.0,4,0,0.0,0,0,0,
78,1185.0,4,0,0.0,0,0,0,
79,1200.0,4,0,0.0,0,0,0,
