cycle,sim_time_s,n_aircraft,n_clusters_observed,max_complexity_observed,n_open_tracks,status_counts,n_resolved_tracks,best_resolution_score
0,15.0,2,1,38.34,1,"{""CANDIDATE"": 1}",0,
1,30.0,2,1,39.2,1,"{""CONFIRMED"": 1}",1,-0.0611
2,45.0,2,1,40.14,1,"{""CONFIRMED"": 1}",1,-0.0611
3,60.0,2,1,41.2,1,"{""GROWING"": 1}",1,-0.0611
4,75.0,2,1,42.37,1,"{""GROWING"": 1}",1,-0.1528
5,90.0,2,1,43.68,1,"{""GROWING"": 1}",1,-0.1582
6,105.0,2,1,45.15,1,"{""GROWING"": 1}",1,-0.1582
7,120.0,2,1,46.81,1,"{""GROWING"": 1}",1,-0.1582
8,135.0,2,1,48.7,1,"{""GROWING"": 1}",1,-0.1582
9,150.0,2,1,50.84,1,"{""GROWING"": 1}",0,
10,165.0,2,1,53.3,1,"{""GROWING"": 1}",0,
11,180.0,2,1,55.93,1,"{""GROWING"": 1}",0,
12,195.0,2,1,55.93,1,"{""PEAK"": 1}",0,
13,210.0,2,1,55.93,1,"{""PEAK"": 1}",0,
14,225.0,2,1,55.93,1,"{""PEAK"": 1}",0,
15,240.0,2,1,55.93,1,"{""PEAK"": 1}",0,
16,255.0,2,1,55.93,1,"{""PEAK"": 1}",0,
17,270.0,2,1,55.93,1,"{""PEAK"": 1}",0,
18,285.0,2,1,55.93,1,"{""PEAK"": 1}",0,
19,300.0,2,1,55.93,1,"{""PEAK"": 1}",0,
20,315.0,2,1,67.93,1,"{""GROWING"": 1}",0,
21,330.0,2,1,67.93,1,"{""PEAK"": 1}",0,
22,345.0,2,1,67.93,1,"{""PEAK"": 1}",0,
23,360.0,2,1,67.93,1,"{""PEAK"": 1}",0,
24,375.0,2,1,67.93,1,"{""PEAK"": 1}",0,
25,390.0,2,1,67.93,1,"{""PEAK"": 1}",0,
26,405.0,2,1,67.93,1,"{""PEAK"": 1}",0,
27,420.0,2,1,67.93,1,"{""PEAK"": 1}",0,
28,435.0,2,1,67.93,1,"{""PEAK"": 1}",0,
29,450.0,2,1,67.93,1,"{""PEAK"": 1}",0,
30,465.0,2,1,67.93,1,"{""PEAK"": 1}",0,
31,480.0,2,1,67.93,1,"{""PEAK"": 1}",0,
32,495.0,2,1,67.93,1,"{""PEAK"": 1}",0,
33,510.0,2,1,67.93,1,"{""PEAK"": 1}",0,
34,525.0,2,1,67.93,1,"{""PEAK"": 1}",0,
35,540.0,2,1,67.93,1,"{""PEAK"": 1}",0,
36,555.0,2,1,67.93,1,"{""PEAK"": 1}",0,
37,570.0,2,1,67.93,1,"{""PEAK"": 1}",0,
38,585.0,2,1,67.93,1,"{""PEAK"": 1}",0,
39,600.0,2,1,67.93,1,"{""PEAK"": 1}",0,
40,615.0,2,1,67.93,1,"{""PEAK"": 1}",0,
41,630.0,2,1,67.93,1,"{""PEAK"": 1}",0,
42,645.0,2,1,67.93,1,"{""PEAK"": 1}",0,
43,660.0,2,1,67.93,1,"{""PEAK"": 1}",0,
44,675.0,2,1,55.93,1,"{""DISSIPATING"": 1}",0,
45,690.0,2,1,55.93,1,"{""DISSIPATING"": 1}",0,
46,705.0,2,1,55.93,1,"{""DISSIPATING"": 1}",0,
47,720.0,2,1,55.93,1,"{""DISSIPATING"": 1}",0,
48,735.0,2,1,55.93,1,"{""DISSIPATING"": 1}",0,
49,750.0,2,1,54.73,1,"{""DISSIPATING"": 1}",0,
50,765.0,2,1,52.09,1,"{""DISSIPATING"": 1}",0,
51,780.0,2,1,40.78,1,"{""DISSIPATING"": 1}",0,
52,795.0,2,1,38.77,1,"{""DISSIPATING"": 1}",0,
53,810.0,2,1,37.0,1,"{""DISSIPATING"": 1}",0,
54,825.0,2,1,35.43,1,"{""DISSIPATING"": 1}",0,
55,840.0,2,1,34.03,1,"{""DISSIPATING"": 1}",0,
56,855.0,2,1,32.79,1,"{""DISSIPATING"": 1}",0,
57,870.0,2,1,31.68,1,"{""DISSIPATING"": 1}",0,
58,885.0,2,1,30.68,1,"{""DISSIPATING"": 1}",0,
59,900.0,2,1,29.77,1,"{""DISSIPATING"": 1}",0,
