cycle,sim_time_s,n_aircraft,n_clusters_observed,max_complexity_observed,n_open_tracks,n_confirmed_tracks,n_resolved_tracks,best_resolution_score
0,15.0,8,2,44.08,2,0,0,
1,30.0,8,2,45.05,2,2,1,-0.15
2,45.0,8,2,46.18,2,2,0,
3,60.0,8,2,47.54,2,2,0,
4,75.0,8,2,49.17,2,2,0,
5,90.0,8,2,51.16,2,2,0,
6,105.0,8,2,53.62,2,2,0,
7,120.0,8,2,56.72,2,2,0,
8,135.0,8,2,67.03,2,2,0,
9,150.0,8,2,78.74,2,2,0,
10,165.0,8,2,77.62,2,0,0,
11,180.0,8,2,77.62,2,0,0,
12,195.0,8,2,77.62,2,0,0,
13,210.0,8,2,77.62,2,0,0,
14,225.0,8,2,77.62,2,0,0,
15,240.0,8,2,77.62,2,0,0,
16,255.0,8,2,77.62,2,0,0,
17,270.0,8,2,77.62,2,0,0,
18,285.0,8,2,77.62,2,0,0,
19,300.0,8,2,77.62,2,0,0,
20,315.0,8,2,77.62,2,0,0,
21,330.0,8,2,77.62,2,0,0,
22,345.0,8,2,77.62,2,0,0,
23,360.0,8,2,77.62,2,0,0,
24,375.0,8,2,79.42,2,2,0,
25,390.0,8,2,81.22,2,2,0,
26,405.0,8,2,81.22,2,0,0,
27,420.0,8,2,69.02,2,2,0,
28,435.0,8,2,61.12,2,2,0,
29,450.0,8,2,54.6,2,2,0,
30,465.0,8,2,47.4,2,2,0,
31,480.0,8,2,42.8,2,2,0,
32,495.0,8,2,40.58,2,2,0,
33,510.0,8,2,38.79,2,2,0,
34,525.0,8,2,37.32,2,2,0,
35,540.0,8,2,36.1,2,2,0,
36,555.0,8,2,35.08,2,2,0,
37,570.0,8,2,34.21,2,2,0,
38,585.0,8,2,33.47,2,2,0,
39,600.0,8,2,32.84,2,2,0,
40,615.0,8,2,26.32,2,2,0,
41,630.0,8,1,25.64,2,2,0,
42,645.0,8,0,0.0,2,2,0,
43,660.0,8,0,0.0,2,1,0,
44,675.0,8,0,0.0,1,0,0,
45,690.0,8,0,0.0,0,0,0,
46,705.0,8,0,0.0,0,0,0,
47,720.0,8,0,0.0,0,0,0,
48,735.0,8,0,0.0,0,0,0,
49,750.0,8,0,0.0,0,0,0,
50,765.0,8,0,0.0,0,0,0,
51,780.0,8,0,0.0,0,0,0,
52,795.0,8,0,0.0,0,0,0,
53,810.0,8,0,0.0,0,0,0,
54,825.0,8,0,0.0,0,0,0,
55,840.0,8,0,0.0,0,0,0,
56,855.0,8,0,0.0,0,0,0,
57,870.0,8,0,0.0,0,0,0,
58,885.0,8,0,0.0,0,0,0,
59,900.0,8,0,0.0,0,0,0,
60,915.0,8,0,0.0,0,0,0,
61,930.0,8,0,0.0,0,0,0,
62,945.0,8,0,0.0,0,0,0,
63,960.0,8,0,0.0,0,0,0,
64,975.0,8,0,0.0,0,0,0,
65,990.0,8,0,0.0,0,0,0,
66,1005.0,8,0,0.0,0,0,0,
67,1020.0,8,0,0.0,0,0,0,
68,1035.0,8,0,0.0,0,0,0,
69,1050.0,8,0,0.0,0,0,0,
70,1065.0,8,0,0.0,0,0,0,
71,1080.0,8,0,0.0,0,0,0,
72,1095.0,8,0,0.0,0,0,0,
73,1110.0,8,0,0.0,0,0,0,
74,1125.0,8,0,0.0,0,0,0,
75,1140.0,8,0,0.0,0,0,0,
76,1155.0,8,0,0.0,0,0,0,
77,1170.0,8,0,0.0,0,0,0,
78,1185.0,8,0,0.0,0,0,0,
79,1200.0,8,0,0.0,0,0,0,
