cycle,sim_time_s,n_aircraft,n_clusters_observed,max_complexity_observed,n_open_tracks,status_counts,n_resolved_tracks,best_resolution_score
0,15.0,40,0,0.0,6,"{""PROVISIONAL"": 6}",0,
1,30.0,40,0,0.0,6,"{""PROVISIONAL"": 6}",0,
2,45.0,40,0,0.0,7,"{""PROVISIONAL"": 7}",0,
3,60.0,40,0,0.0,7,"{""PROVISIONAL"": 7}",0,
4,75.0,40,0,0.0,7,"{""PROVISIONAL"": 7}",0,
5,90.0,40,0,0.0,7,"{""PROVISIONAL"": 7}",0,
6,105.0,40,0,0.0,7,"{""PROVISIONAL"": 7}",0,
7,120.0,40,0,0.0,7,"{""PROVISIONAL"": 7}",0,
8,135.0,40,0,0.0,7,"{""PROVISIONAL"": 7}",0,
9,150.0,40,0,0.0,8,"{""PROVISIONAL"": 8}",0,
10,165.0,40,0,0.0,8,"{""PROVISIONAL"": 8}",0,
11,180.0,40,0,0.0,8,"{""PROVISIONAL"": 8}",0,
12,195.0,40,0,0.0,8,"{""PROVISIONAL"": 7, ""CLOSED"": 1}",0,
13,210.0,40,0,0.0,7,"{""PROVISIONAL"": 7}",0,
14,225.0,40,1,35.06,8,"{""PROVISIONAL"": 7, ""CANDIDATE"": 1}",0,
15,240.0,40,1,34.84,8,"{""PROVISIONAL"": 7, ""CONFIRMED"": 1}",0,
16,255.0,40,1,34.26,8,"{""PROVISIONAL"": 6, ""CLOSED"": 1, ""CONFIRMED"": 1}",0,
17,270.0,40,1,36.73,7,"{""PROVISIONAL"": 6, ""GROWING"": 1}",0,
18,285.0,40,1,38.3,7,"{""PROVISIONAL"": 6, ""GROWING"": 1}",0,
19,300.0,40,0,0.0,7,"{""PROVISIONAL"": 6, ""GROWING"": 1}",0,
20,315.0,40,0,0.0,7,"{""PROVISIONAL"": 6, ""GROWING"": 1}",0,
21,330.0,40,0,0.0,7,"{""PROVISIONAL"": 6, ""CLOSED"": 1}",0,
22,345.0,40,1,27.78,7,"{""PROVISIONAL"": 6, ""CANDIDATE"": 1}",0,
23,360.0,39,1,30.29,7,"{""PROVISIONAL"": 6, ""CONFIRMED"": 1}",0,
24,375.0,39,1,33.63,7,"{""PROVISIONAL"": 6, ""GROWING"": 1}",0,
25,390.0,39,1,37.7,7,"{""PROVISIONAL"": 6, ""GROWING"": 1}",0,
26,405.0,39,1,41.67,7,"{""PROVISIONAL"": 6, ""GROWING"": 1}",0,
27,420.0,39,1,43.75,7,"{""PROVISIONAL"": 6, ""GROWING"": 1}",0,
28,435.0,39,1,42.6,7,"{""PROVISIONAL"": 6, ""PEAK"": 1}",0,
29,450.0,38,1,39.0,7,"{""PROVISIONAL"": 6, ""DISSIPATING"": 1}",0,
30,465.0,38,1,34.82,7,"{""PROVISIONAL"": 6, ""DISSIPATING"": 1}",0,
31,480.0,38,1,31.22,7,"{""PROVISIONAL"": 6, ""DISSIPATING"": 1}",0,
