callsign,has_route,horizon_min,baseline_horizontal_error_nm,route_aware_horizontal_error_nm,baseline_altitude_error_ft,route_aware_altitude_error_ft
DOGLEG1,True,5,0.778,0.778,0.0,0.0
DOGLEG1,True,10,27.51,0.778,0.0,0.0
DOGLEG1,True,15,60.516,0.778,0.0,0.0
DOGLEG1,True,30,159.528,0.778,0.0,0.0
DOGLEG1,True,60,357.437,0.778,0.0,0.0
DOGLEG2,True,5,0.722,0.722,0.0,0.0
DOGLEG2,True,10,10.906,0.722,0.0,0.0
DOGLEG2,True,15,27.67,0.722,0.0,0.0
DOGLEG2,True,30,77.852,0.722,0.0,0.0
DOGLEG2,True,60,177.392,1.114,0.0,0.0
DOGLEG3,True,5,0.667,0.667,0.0,0.0
DOGLEG3,True,10,12.596,0.667,0.0,0.0
DOGLEG3,True,15,35.979,0.667,0.0,0.0
DOGLEG3,True,30,106.166,0.667,0.0,0.0
DOGLEG3,True,60,246.606,0.686,0.0,0.0
STRAIGHT1,False,5,0.833,0.833,0.0,0.0
STRAIGHT1,False,10,0.834,0.834,0.0,0.0
STRAIGHT1,False,15,0.839,0.839,0.0,0.0
STRAIGHT1,False,30,0.93,0.93,0.0,0.0
STRAIGHT1,False,60,1.937,1.937,0.0,0.0
CONV1,True,5,0.906,0.694,0.0,0.0
CONV1,True,10,30.236,0.694,0.0,0.0
CONV1,True,15,59.704,0.694,0.0,0.0
CONV1,True,30,148.104,0.694,0.0,0.0
CONV1,True,60,324.818,0.694,0.0,0.0
CONV2,True,5,0.914,0.694,0.0,0.0
CONV2,True,10,30.246,0.694,0.0,0.0
CONV2,True,15,59.714,0.694,0.0,0.0
CONV2,True,30,148.114,0.694,0.0,0.0
CONV2,True,60,324.829,0.694,0.0,0.0
